Name,Rating
"파워 오브 도그",7.87
"유체이탈자",7.75
"연애 빠진 로맨스",8.35
"이터널스",5.58
"베네데타",7.87
"강릉",5.83
"로그 인 벨지움",8.16
"프렌치 디스패치",8.00
"듄",7.95
"고장난 론",8.94
"너에게 가는 길",9.50
"무녀도",9.01
"라스트 나잇 인 소호",7.92
"고스트버스터즈 라이즈",7.80
